year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2001,7,1,58.7 B,Gates,William,Bill Gates,1955-10-28,45,Male,United States,United States,Medina,,['Technology'],,,False,
2001,7,2,32.3 B,,,Warren Buffett,,70,,United States,United States,Omaha,,['Finance'],,,,
2001,7,3,30.4 B,Allen,Paul,Paul Allen,1953-01-21,48,Male,United States,United States,Mercer Island,,['Technology'],,,False,
2001,7,4,26.0 B,,,Lawrence Ellison,,56,,United States,United States,Atherton,,['Software'],,,,
2001,6,5,5.6 B,Henkel,,Christoph Henkel,1958-02-11,,,Germany,United Kingdom,London,Fashion & Retail,['Fashion & Retail'],,,False,
2001,7,6,20.0 B,,,Prince Alwaleed Bin Talal Alsaud,,44,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2001,7,7,18.8 B,,,Jim Walton,,53,,United States,United States,Bentonville,,['Retail'],,,,
2001,7,8,4.7 B,,,David Sainsbury,,60,,United Kingdom,United Kingdom,London,,['Retail'],,,,
2001,7,9,18.6 B,,,S. Robson Walton,,57,,United States,United States,Bentonville,,['Retail'],,,,
2001,7,10,18.5 B,,,Alice Walton,,52,,United States,United States,Fort Worth,,['Retail'],,,,
2001,7,12,17.8 B,,,Johanna Quandt,,74,,Germany,Germany,Bad Homburg,,,,,,
2001,7,13,16.6 B,Ballmer,Steven,Steve Ballmer,1956-03-24,45,Male,United States,United States,Hunts Point,,['Technology'],,,False,
2001,7,13,3.4 B,,,Michael Kadoorie & family,,60,,Hong Kong,China,Hong Kong,,,,,,
2001,7,15,15.6 B,,,Liliane Bettencourt,,75,,France,France,Paris,,['Pharmaceuticals'],,,,
2001,7,16,15.3 B,,,Philip Anschutz,,61,,United States,United States,Denver,,,,,,
2001,7,17,13.0 B,,,Ingvar Kamprad & family,,75,,Sweden,Sweden,"Lausanne, Switz",,['Retail'],,,,
2001,7,18,12.6 B,,,Ka-shing Li,,73,,Hong Kong,Hong Kong,Chaozhou,,,,,,
2001,7,18,12.6 B,,,Sumner Redstone,,78,,United States,United States,Newton Centre,,['Media'],,,,
2001,7,21,11.7 B,Chambers,Anne Cox,Anne Cox Chambers,1919-12-01,81,Female,United States,United States,Atlanta,,['Media'],,,False,
2001,7,23,11.5 B,,,Kwok family,,0,,Hong Kong,Hong Kong,,,['Real Estate'],,,,
2001,7,25,10.8 B,,,Carlos Slim Helu & family,,61,,Mexico,Mexico,Mexico City,,,,,,
2001,7,26,10.7 B,,,Bernard Arnault,,52,,France,France,Paris,,,,,,
2001,7,27,10.5 B,,,Ernesto Bertarelli & family,,35,,Switzerland,Switzerland,Geneva,,['Pharmaceuticals'],,,,
2001,7,27,10.5 B,,,Michael Dell,,36,,United States,United States,Austin,,,,,,
2001,7,29,10.3 B,,,Silvio Berlusconi & family,,64,,Italy,Italy,North of Milan,,,,,,
2001,7,30,9.1 B,,,Abigail Johnson,,39,,United States,United States,Boston,,['Finance'],,,,
2001,7,31,9.0 B,,,Forrest Mars,,69,,United States,United States,McLean,,['Food'],,,,
2001,7,31,9.0 B,,,Jacqueline Mars,,61,,United States,United States,Bedminster,,['Food'],,,,
2001,7,31,9.0 B,,,John Mars,,65,,United States,United States,Arlington,,['Food'],,,,
2001,7,31,9.0 B,,,Birgit Rausing & family,,48,,Sweden,Sweden,,,['Manufacturing'],,,,
2001,7,35,8.8 B,Ergen,Charles,Charles Ergen,1953-03-01,48,Male,United States,United States,Denver,,['Media'],,,False,
2001,7,35,8.8 B,,,"Robert E ""Ted"" Turner",,62,,United States,United States,Atlanta,,['Media'],,,,
2001,7,39,7.8 B,,,Rupert Murdoch,,70,,United States,United States,New York,,['Media'],,,,
2001,7,40,7.7 B,,,Hans Rausing,,75,,Sweden,Sweden,Essex,,['Manufacturing'],,,,
2001,7,42,6.9 B,,,Azim Premji,,55,,India,India,Bangalore,,,,,,
2001,7,43,6.6 B,,,Leonardo Del Vecchio,,66,,Italy,Italy,Milan,,['Manufacturing'],,,,
2001,7,43,6.6 B,,,Amancio Ortega,,65,,Spain,Spain,La Coruna,,['Apparel'],,,,
2001,7,45,6.5 B,,,Gerald Cavendish Grosvenor & family,,49,,United Kingdom,United Kingdom,Chester,,['Real Estate'],,,,
2001,7,46,6.4 B,,,Kirk Kerkorian,,84,,United States,United States,Las Vegas,,['Finance'],,,,
2001,7,47,6.3 B,,,Francois Pinault & family,,64,,France,France,Paris,,,,,,
2001,7,47,6.3 B,,,Charles Schwab,,64,,United States,United States,Atherton,,['Finance'],,,,
2001,7,50,6.0 B,Al-Kharafi,Nasser,Nasser Al-Kharafi & family,1943-06-17,58,Male,Kuwait,,,,['Diversified'],,,False,
2001,7,50,6.0 B,,,George Soros,,70,,United States,United States,Bedford,,['Finance'],,,,
2001,7,52,5.9 B,,,Shau Kee Lee,,73,,Hong Kong,Hong Kong,hong kong,,['Real Estate'],,,,
2001,7,53,5.8 B,,,Eli Broad,,68,,United States,United States,Brentwood,,['Real Estate'],,,,
2001,7,54,5.7 B,Goodnight,James,James Goodnight,1943-01-06,58,Male,United States,United States,Cary,,['Technology'],,,False,
2001,7,55,5.6 B,,,Masayoshi Son,,43,,Japan,Japan,Tokyo,,['Software'],,,,
2001,7,57,5.5 B,,,Luciano Benetton,,66,,Italy,Italy,Treviso,,['Apparel'],,,,
2001,7,57,5.5 B,,,Thomas Pritzker,,51,,United States,United States,Chicago,,['Real Estate'],,,,
2001,7,60,5.4 B,,,Curt Engelhorn,,75,,Germany,Bermuda,Bermuda,,['Pharmaceuticals'],,,,
2001,7,60,5.4 B,,,Gordon Moore,,72,,United States,United States,Woodside,,,,,,
2001,7,60,5.4 B,,,Hasso Plattner,,57,,Germany,Germany,Heidelberg,,['Software'],,,,
2001,7,64,5.3 B,,,Gustavo Cisneros & family,,56,,Venezuela,Venezuela,Caracas,,['Media'],,,,
2001,7,64,5.3 B,,,Walter Haefner,,90,,Switzerland,Switzerland,Zurich,,,,,,
2001,7,64,5.3 B,,,Stefan Persson,,53,,Sweden,Sweden,Stockholm,,['Retail'],,,,
2001,7,70,5.0 B,,,Donald Newhouse,,71,,United States,United States,Somerset County,,['Media'],,,,
2001,7,70,5.0 B,,,Samuel Newhouse,,73,,United States,United States,New York,,['Media'],,,,
2001,7,70,5.0 B,,,Michael Otto & family,,58,,Germany,Germany,Hamburg,,['Retail'],,,,
2001,7,70,5.0 B,,,August von Finck,,71,,Germany,Germany,Switzerland,,['Investments'],,,,
2001,7,70,5.0 B,,,Alain &#38; Gerard Wertheimer,,0,,France,France,Paris,,['Apparel'],,,,
2001,7,75,4.9 B,,,Serge Dassault & family,,76,,France,France,,,,,,,
2001,7,76,4.8 B,,,Gunter Herz,,60,,Germany,Germany,Hamburg,,['Retail'],,,,
2001,7,76,4.8 B,,,Tadashi Yanai & family,,52,,Japan,Japan,Yamaguchi,,['Apparel'],,,,
2001,7,78,4.7 B,,,Rolf Gerling,,46,,Germany,Germany,"Zurich, Switzerland",,['Insurance'],,,,
2001,7,79,4.6 B,,,Edward Johnson,,71,,United States,United States,Boston,,['Finance'],,,,
2001,7,79,4.6 B,,,Spiro Latsis & family,,54,,Greece,Greece,Athens,,,,,,
2001,7,82,4.5 B,,,Michael Bloomberg,,58,,United States,United States,New York,,['Media'],,,,
