"","citizenship","region","subregion"
"1","United States","N-America","us"
"2","Germany","EU","germany"
"3","Saudi Arabia","Mid-East","0"
"4","Canada","N-America","canada"
"5","France","EU","france"
"6","Sweden","EU","scanavia"
"7","Hong Kong","China","china"
"8","Mexico","S-America","0"
"9","Switzerland","EU","alp-count"
"10","Italy","EU","italy"
"11","Japan","E-Asia","japan"
"12","India","India","india"
"13","Spain","EU","0"
"14","United Kingdom","EU","brit-isl"
"15","Kuwait","Mid-East","0"
"16","Venezuela","S-America","0"
"17","Greece","EU","0"
"18","South Africa","ROW","ROW"
"19","Netherlands","EU","0"
"20","Taiwan","E-Asia","asia-isl"
"21","Israel","Mid-East","isr-turky"
"22","Turkey","Mid-East","isr-turky"
"23","Malaysia","E-Asia","se-asia"
"24","Brazil","S-America","brazil"
"25","Singapore","E-Asia","se-asia"
"26","Lebanon","Mid-East","0"
"27","Australia","E-Asia","australia"
"28","Russia","C-Eurasia","russia"
"29","Denmark","EU","scanavia"
"30","Ireland","EU","brit-isl"
"31","Bermuda","S-America","0"
"32","Portugal","EU","0"
"33","UAE","Mid-East","0"
"34","Indonesia","E-Asia","asia-isl"
"35","Argentina","S-America","0"
"36","South Korea","E-Asia","s-korea"
"37","Colombia","S-America","0"
"38","Norway","EU","scanavia"
"39","Liechtenstein","EU","alp-count"
"40","Chile","S-America","0"
"41","China","China","china"
"42","Philippines","E-Asia","asia-isl"
"43","Thailand","E-Asia","se-asia"
"44","Belgium","EU","alp-count"
"45","Egypt","EU","0"
"46","New Zealand","ROW","0"
"47","United Arab Emirates","Mid-East","0"
"48","Austria","EU","alp-count"
"49","Ukraine","C-Eurasia","0"
"50","Iceland","EU","0"
"51","Kazakhstan","C-Eurasia","0"
"52","Poland","EU","0"
"53","Monaco","EU","france"
"54","Czech Republic","EU","0"
"55","Cyprus","EU","0"
"56","Oman","Mid-East","0"
"57","Romania","EU","0"
"58","Serbia","EU","0"
"59","Nigeria","ROW","ROW"
"60","Belize","S-America","0"
"61","Finland","EU","scanavia"
"62","Pakistan","ROW","ROW"
"63","N/A","ROW","0"
"64","Georgia","C-Eurasia","0"
"65","Morocco","ROW","ROW"
"66","Peru","S-America","0"
"67","St. Kitts and Nevis","ROW","ROW"
"68","Swaziland","ROW","ROW"
"69","Angola","ROW","ROW"
"70","Guernsey","EU","0"
"71","Vietnam","E-Asia","0"
"72","Nepal","ROW","ROW"
"73","Algeria","ROW","ROW"
"74","Macau","China","china"
"75","Uganda","ROW","ROW"
"76","Tanzania","ROW","ROW"
"77","Lithuania","EU","0"
"78","Guatemala","S-America","0"
"79","Qatar","Mid-East","0"
"80","Slovakia","EU","0"
"81","Zimbabwe","ROW","ROW"
"82","Hungary","EU","0"
"83","Czechia","EU","."
"84","Eswatini (Swaziland)","ROW","."
"85","Macao","China","china"
