Date,Open,High,Low,Close,Adj Close,Volume
2023-07-01,16187.910156,16528.970703,15456.160156,16446.830078,16446.830078,1335165400
2023-08-01,16414.789063,16430.660156,15468.650391,15947.080078,15947.080078,1354111400
2023-09-01,15936.339844,15989.299805,15138.660156,15386.580078,15386.580078,1478334200
2023-10-01,15439.959961,15575.280273,14630.209961,14810.339844,14810.339844,1510326000
2023-11-01,14851.959961,16262.959961,14786.320313,16215.429688,16215.429688,1623479000
2023-12-01,16296.919922,17003.279297,16279.450195,16751.640625,16751.640625,1316521100
2024-01-01,16828.750000,16999.580078,16345.019531,16903.759766,16903.759766,1469221100
2024-02-01,16834.130859,17742.480469,16821.599609,17678.189453,17678.189453,1473538600
2024-03-01,17793.470703,18513.830078,17619.400391,18492.490234,18492.490234,1555272300
2024-04-01,18492.359375,18567.160156,17626.900391,17932.169922,17932.169922,1554583300
2024-05-01,17935.779297,18892.919922,17875.980469,18497.939453,18497.939453,1491744800
2024-06-01,18503.789063,18697.089844,18503.789063,18608.160156,18608.160156,54181600
2024-06-04,18608.300781,18608.300781,18365.529297,18510.240234,18510.240234,0
